Date	Time	V_inf	B_ksi	B_etta
2021-Feb-02 07:37:57.593	110400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 07:47:57.593	111000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 07:57:57.593	111600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:07:57.593	112200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:17:57.593	112800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:27:57.593	113400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:37:57.593	114000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:47:57.593	114600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 08:57:57.593	115200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:07:57.593	115800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:17:57.593	116400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:27:57.593	117000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:37:57.593	117600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:47:57.593	118200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 09:57:57.593	118800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:07:57.593	119400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:17:57.593	120000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:27:57.593	120600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:37:57.593	121200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:47:57.593	121800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 10:57:57.593	122400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:07:57.593	123000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:17:57.593	123600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:27:57.593	124200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:37:57.593	124800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:47:57.593	125400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 11:57:57.593	126000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:07:57.593	126600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:17:57.593	127200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:27:57.593	127800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:37:57.593	128400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:47:57.593	129000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 12:57:57.593	129600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:07:57.593	130200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:17:57.593	130800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:27:57.593	131400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:37:57.593	132000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:47:57.593	132600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 13:57:57.593	133200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:07:57.593	133800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:17:57.593	134400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:27:57.593	135000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:37:57.593	135600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:47:57.593	136200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 14:57:57.593	136800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:07:57.593	137400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:17:57.593	138000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:27:57.593	138600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:37:57.593	139200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:47:57.593	139800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 15:57:57.593	140400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:07:57.593	141000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:17:57.593	141600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:27:57.593	142200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:37:57.593	142800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:47:57.593	143400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 16:57:57.593	144000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:07:57.593	144600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:17:57.593	145200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:27:57.593	145800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:37:57.593	146400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:47:57.593	147000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 17:57:57.593	147600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:07:57.593	148200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:17:57.593	148800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:27:57.593	149400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:37:57.593	150000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:47:57.593	150600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 18:57:57.593	151200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:07:57.593	151800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:17:57.593	152400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:27:57.593	153000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:37:57.593	153600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:47:57.593	154200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 19:57:57.593	154800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:07:57.593	155400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:17:57.593	156000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:27:57.593	156600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:37:57.593	157200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:47:57.593	157800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 20:57:57.593	158400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:07:57.593	159000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:17:57.593	159600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:27:57.593	160200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:37:57.593	160800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:47:57.593	161400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 21:57:57.593	162000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:07:57.593	162600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:17:57.593	163200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:27:57.593	163800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:37:57.593	164400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:47:57.593	165000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 22:57:57.593	165600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:07:57.593	166200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:17:57.593	166800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:27:57.593	167400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:37:57.593	168000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:47:57.593	168600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-02 23:57:57.593	169200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-03 00:07:57.593	169800	-nan(ind)	-nan(ind)	-nan(ind)
